sentence,label
fabricate radiator stands,s
hoist blower 6 tripping out,h
fit full set of lug tyres only 0,h
hitch hose needs replaced,h
cabin controls oil temp gauge u/s,s
wtr pump shaft must be repl,s
change out w/pump sft unserviceable,s
hand is cracked,h
leak found in fan pump oil,h
replace bucket pins & bushes,h
wiper motor hose needs oil leak repair,h
replace leaking a/c fan pmp,h
assisted vistacam,s
centrifuge hose requires repair,h
replace charge hose leaking oil,s
crack in windscreen,s
diagnose and repair spray faults,h
cable unwrap from tub,h
1000h mech insp trk roll 2 rh,s
moderate eng oil leak,h
tool inspection paul,s
service mcc tripping,h
weeing found on slew pump hose,h
send tyre to mes for rebuild,h
dropped cellin batt,h
window frame requires loctite,h
swing brake hose is in need of rep,h
2 weekly scheduled servicing tbc,s
roller need 2 change out,h
seat loose,h
weeping hose,h
slew pump oil was found,h
roof heater hose found weeping,s
engine shut fault,h
replace bottom steer shaft universal,s
c/o 2ndery parkbrake release hos,h
water in dash fault,s
replace worn bogie pads,s
leak in hst brk. hose,h
repl missing boom locking pins,s
inverter batteriesare not charged,s
ss0308-c/out turbo primary lft frnt,h
coolant pipe clamps require loctite,h
fix earthing out hoist blower inverter,h
repair carcks on cross braces,s
d/line air conditioner not producing cold,h
#2 swing gearcase re-build,h
repair hyd tank cover,h
puchase up et programs and a,s
repl rhs corner tooth,h
d/rope pump hose has leak,s
steering pump oil leaks,s
loctite needed on brk pump bolt,s
repair crack in boom chofd,h
noise fr hydraulic lift cylind.,s
clar hr air con servic,s
parts washer pump chip sensor alarm,s
replace leaking alternator drv,s
repair leak in sldw brake pmp,s
apply loctite on clamps,s
fire ext requires service,h
controller filter needs rep worn,s
0 teemp alarms up at same time,h
roll l/hand drag chain 180deg,s
filter hose requires fitting,s
boarding ladder is not wor king,h
loctite needed on differential pump bolt,h
steering hose worn,s
526upper lh deflection sheave brg grease,h
rep crack in rock deflector,s
sm2291-fire suppression inspection,h
replace diff pressure sensor,h
drain swing shaft 8 tray &clean up oil,h
leak of hydoil from cooler fan hose,s
auto-lube system fault,h
oil pressure gauge not working,s
leak under roto,s
leak in condenser fan hose,h
replace a/c vent louver,h
replace cracked glass window,s
oil leaking fr brk filter hose,s
no grease in dogbone pin,h
uq9701- c/out steering ball studs,h
fuel leaking fr. fan pump,s
cracked engi cover,s
swing faults /change out motor,s
hoist brk hose needs 2 be cleaned,s
leaking pipe on front of power divider,h
cw replace u/s engine scavengeg,s
blade offset switch fault,h
propel no3 motor o/haul-elec/mech,s
repair leak in hmu hose,s
install hand returns,h
repair ride control&oil leaks,h
emergency lighting audit elect,h
cab needs resealing,h
mr0229-c/out # 75 faulty injector ass,s
end for end drag chains d/line,s
tx has oil leak,h
cracked w/dow,s
