sentence,label,,label,count
drag ropes lh changeout-mechanical,s,,h,50
fit up tyre as spare,h,,s,50
slew pump oil was found,h,,,
drag rope pump hose has leak,s,,,
loctite needed on steering pmp bolt,h,,,
fuel leak in bucket cylind hose,s,,,
no ignition bucket over truck,h,,,
replace transmission harness,h,,,
reverse alarm not working,h,,,
dropped cell in battery,h,,,
mesure allround chassis movement,s,,,
change out pos 9 &2,s,,,
refit old air tank removed from,s,,,
repair crack in rock deflector,h,,,
coolant leak fr transmission hose,h,,,
slew pmp has a leak,h,,,
aerial required 4 am/fm radio,s,,,
replace uni's on rear driveline,h,,,
wtr pmp. shaft must be replaced,s,,,
brake pmpcavity emptying issue,s,,,
leak of oil in slew pmp.,h,,,
c/o leaking plug,s,,,
rep dmg 2 auto-greaser door,s,,,
cracked cable gantry,h,,,
replace headboard w. cracks,h,,,
pos 3f/drive contaminated see text,s,,,
wiper mtr hose needs oil leak rep,s,,,
trace & repair hyd oil leak rh steer ram,h,,,
oga quote/repair torque wrench # 0,s,,,
centrifugefilt leaking,s,,,
revolving frame has oil,h,,,
mobile internal labour w 40,s,,,
cracking on cov,s,,,
tighten handrail around fairleads,h,,,
diverter valve leaking hyd oil,s,,,
replace injectors and o,s,,,
no drag excitaion,h,,,
supply new bucket teeth lock tbc,s,,,
h/rail is cracked,h,,,
purge hoist & drag pedestall bearings,s,,,
wiper blades worn out,h,,,
engi flt present,s,,,
dragline airconditioner not producing cold,h,,,
hst brake hose needs 2 be cleaned,s,,,
c/o fuel breather,s,,,
cooler pump bolt needsloctite,s,,,
inspect track plates lft,s,,,
replace the bolt,h,,,
repair weeping brake filter hose,h,,,
rep pin grease leak,s,,,
roof heater hose found weeping,h,,,
diff. pump drive has leak,s,,,
repair split in back wall and weld,h,,,
filter hose requires fitting,h,,,
replace siezed precleaner motor,s,,,
repair leaking steering acc,h,,,
tighten loose propel frame bolts,h,,,
need clean out steering pump hose,s,,,
repair flt in weldingboard,s,,,
change engine oil and insp eng,h,,,
leak of hyd oil from cooler fan hose,s,,,
fan pump drive has leak,h,,,
install ssr 11 self rescuer,s,,,
3 weekly pipeco hose repairs,s,,,
steering pump oil leaks,h,,,
42347 monthly ansul system service,s,,,
repair air con fault,h,,,
front window cracked,h,,,
hydoil leak frombrake pump hose,s,,,
diff oil is leaking,h,,,
replace hyd joiner suction hose,s,,,
replace comp bucket teeth,s,,,
/co water pump sft unserviceable,s,,,
clam cylinder hose reqs co,h,,,
pos #2 steer oil inspection plug missing,h,,,
5 weekly service electrical,h,,,
centrifuge hose requires rep,h,,,
roller need 2 c/out,s,,,
rinachi daily inspections wk 52,s,,,
noise fr hydraulic lift cylinder,s,,,
tray position fault,h,,,
repair auto not working,h,,,
drag tun roller bracket/bearings,s,,,
replacing needed 4 eng pump bolt,s,,,
reapir over fault,h,,,
552 hr service,s,,,
repl leaking rhs steering cylinder,s,,,
alarm activated in pto pump chip sensor,s,,,
bear on compressor noisy,h,,,
refitt l/h y pin,s,,,
replace ride control solenoids,h,,,
repl bucket profile bar,h,,,
24wk crows nest service,s,,,
pos 5 tyre sidewall damage,h,,,
cab needs an aerial,h,,,
extending needed 4 mast dust flap,h,,,
replace engine fan,h,,,
repair bucket in surf w/shop,s,,,
investigate gear fault,h,,,
oil found on frame,h,,,
