sentence,label
drag ropes lh changeout-mechanical,s
fit up tyre as spare,h
slew pump oil was found,s
drag rope pump hose has leak,s
loctite needed on steering pmp bolt,h
fuel leak in bucket cylind hose,s
no ignition bucket over truck,h
replace transmission harness,h
reverse alarm not working,s
dropped cell in battery,h
mesure allround chassis movement,s
change out pos 9 &2,s
refit old air tank removed from,s
repair crack in rock deflector,h
coolant leak fr transmission hose,h
slew pmp has a leak,s
aerial required 4 am/fm radio,h
replace uni's on rear driveline,h
wtr pmp. shaft must be replaced,s
brake pmpcavity emptying issue,s
leak of oil in slew pmp.,h
c/o leaking plug,h
rep dmg 2 auto-greaser door,h
cracked cable gantry,h
replace headboard w. cracks,h
pos 3f/drive contaminated see text,h
wiper mtr hose needs oil leak rep,s
trace & repair hyd oil leak rh steer ram,h
oga quote/repair torque wrench # 0,s
centrifugefilt leaking,h
revolving frame has oil,s
mobile internal labour w 40,s
cracking on cov,s
tighten handrail around fairleads,h
diverter valve leaking hyd oil,h
replace injectors and o,s
no drag excitaion,s
supply new bucket teeth lock tbc,h
h/rail is cracked,s
purge hoist & drag pedestall bearings,h
wiper blades worn out,h
engi flt present,s
dragline airconditioner not producing cold,s
hst brake hose needs 2 be cleaned,s
c/o fuel breather,h
cooler pump bolt needsloctite,s
inspect track plates lft,h
replace the bolt,s
repair weeping brake filter hose,h
rep pin grease leak,s
roof heater hose found weeping,s
diff. pump drive has leak,s
repair split in back wall and weld,h
filter hose requires fitting,s
replace siezed precleaner motor,h
repair leaking steering acc,h
tighten loose propel frame bolts,h
need clean out steering pump hose,s
repair flt in weldingboard,s
change engine oil and insp eng,s
leak of hyd oil from cooler fan hose,s
fan pump drive has leak,s
install ssr 11 self rescuer,h
3 weekly pipeco hose repairs,h
steering pump oil leaks,s
42347 monthly ansul system service,h
repair air con fault,h
front window cracked,s
hydoil leak frombrake pump hose,s
diff oil is leaking,s
replace hyd joiner suction hose,h
replace comp bucket teeth,s
/co water pump sft unserviceable,s
clam cylinder hose reqs co,s
pos #2 steer oil inspection plug missing,s
5 weekly service electrical,h
centrifuge hose requires rep,s
roller need 2 c/out,s
rinachi daily inspections wk 52,h
noise fr hydraulic lift cylinder,h
tray position fault,h
repair auto not working,s
drag tun roller bracket/bearings,h
replacing needed 4 eng pump bolt,s
reapir over fault,s
552 hr service,h
repl leaking rhs steering cylinder,h
alarm activated in pto pump chip sensor,h
bear on compressor noisy,s
refitt l/h y pin,h
replace ride control solenoids,h
repl bucket profile bar,h
24wk crows nest service,h
pos 5 tyre sidewall damage,s
cab needs an aerial,h
extending needed 4 mast dust flap,s
replace engine fan,h
repair bucket in surf w/shop,h
investigate gear fault,h
oil found on frame,s
