sentence,label,,label,count
drag ropes lh changeout-mechanical,s,,h,50
fit up tyre as spare,h,,s,50
slew pump oil was found,s,,,
drag rope pump hose has leak,h,,,
loctite needed on steering pmp bolt,h,,,
fuel leak in bucket cylind hose,s,,,
no ignition bucket over truck,h,,,
replace transmission harness,s,,,
reverse alarm not working,s,,,
dropped cell in battery,h,,,
mesure allround chassis movement,s,,,
change out pos 9 &2,h,,,
refit old air tank removed from,s,,,
repair crack in rock deflector,h,,,
coolant leak fr transmission hose,h,,,
slew pmp has a leak,s,,,
aerial required 4 am/fm radio,h,,,
replace uni's on rear driveline,h,,,
wtr pmp. shaft must be replaced,h,,,
brake pmpcavity emptying issue,s,,,
leak of oil in slew pmp.,h,,,
c/o leaking plug,h,,,
rep dmg 2 auto-greaser door,h,,,
cracked cable gantry,h,,,
replace headboard w. cracks,s,,,
pos 3f/drive contaminated see text,h,,,
wiper mtr hose needs oil leak rep,h,,,
trace & repair hyd oil leak rh steer ram,h,,,
oga quote/repair torque wrench # 0,h,,,
centrifugefilt leaking,s,,,
revolving frame has oil,s,,,
mobile internal labour w 40,s,,,
cracking on cov,s,,,
tighten handrail around fairleads,h,,,
diverter valve leaking hyd oil,h,,,
replace injectors and o,s,,,
no drag excitaion,h,,,
supply new bucket teeth lock tbc,h,,,
h/rail is cracked,s,,,
purge hoist & drag pedestall bearings,s,,,
wiper blades worn out,s,,,
engi flt present,h,,,
dragline airconditioner not producing cold,s,,,
hst brake hose needs 2 be cleaned,h,,,
c/o fuel breather,h,,,
cooler pump bolt needsloctite,h,,,
inspect track plates lft,s,,,
replace the bolt,s,,,
repair weeping brake filter hose,s,,,
rep pin grease leak,s,,,
roof heater hose found weeping,h,,,
diff. pump drive has leak,s,,,
repair split in back wall and weld,h,,,
filter hose requires fitting,h,,,
replace siezed precleaner motor,s,,,
repair leaking steering acc,s,,,
tighten loose propel frame bolts,s,,,
need clean out steering pump hose,h,,,
repair flt in weldingboard,s,,,
change engine oil and insp eng,h,,,
leak of hyd oil from cooler fan hose,s,,,
fan pump drive has leak,s,,,
install ssr 11 self rescuer,h,,,
3 weekly pipeco hose repairs,h,,,
steering pump oil leaks,s,,,
42347 monthly ansul system service,s,,,
repair air con fault,h,,,
front window cracked,h,,,
hydoil leak frombrake pump hose,s,,,
diff oil is leaking,s,,,
replace hyd joiner suction hose,s,,,
replace comp bucket teeth,h,,,
/co water pump sft unserviceable,h,,,
clam cylinder hose reqs co,s,,,
pos #2 steer oil inspection plug missing,s,,,
5 weekly service electrical,s,,,
centrifuge hose requires rep,h,,,
roller need 2 c/out,s,,,
rinachi daily inspections wk 52,h,,,
noise fr hydraulic lift cylinder,s,,,
tray position fault,s,,,
repair auto not working,s,,,
drag tun roller bracket/bearings,h,,,
replacing needed 4 eng pump bolt,s,,,
reapir over fault,h,,,
552 hr service,h,,,
repl leaking rhs steering cylinder,s,,,
alarm activated in pto pump chip sensor,s,,,
bear on compressor noisy,h,,,
refitt l/h y pin,s,,,
replace ride control solenoids,s,,,
repl bucket profile bar,h,,,
24wk crows nest service,h,,,
pos 5 tyre sidewall damage,s,,,
cab needs an aerial,h,,,
extending needed 4 mast dust flap,s,,,
replace engine fan,h,,,
repair bucket in surf w/shop,s,,,
investigate gear fault,h,,,
oil found on frame,h,,,
