sentence,label
drag ropes lh changeout-mechanical,h
fit up tyre as spare,s
slew pump oil was found,s
drag rope pump hose has leak,s
loctite needed on steering pmp bolt,s
fuel leak in bucket cylind hose,h
no ignition bucket over truck,s
replace transmission harness,h
reverse alarm not working,h
dropped cell in battery,h
mesure allround chassis movement,s
change out pos 9 &2,h
refit old air tank removed from,s
repair crack in rock deflector,h
coolant leak fr transmission hose,h
slew pmp has a leak,s
aerial required 4 am/fm radio,h
replace uni's on rear driveline,s
wtr pmp. shaft must be replaced,s
brake pmpcavity emptying issue,h
leak of oil in slew pmp.,s
c/o leaking plug,h
rep dmg 2 auto-greaser door,h
cracked cable gantry,h
replace headboard w. cracks,h
pos 3f/drive contaminated see text,h
wiper mtr hose needs oil leak rep,s
trace & repair hyd oil leak rh steer ram,s
oga quote/repair torque wrench # 0,s
centrifugefilt leaking,h
revolving frame has oil,s
mobile internal labour w 40,s
cracking on cov,s
tighten handrail around fairleads,h
diverter valve leaking hyd oil,h
replace injectors and o,h
no drag excitaion,s
supply new bucket teeth lock tbc,h
h/rail is cracked,s
purge hoist & drag pedestall bearings,h
wiper blades worn out,h
engi flt present,s
dragline airconditioner not producing cold,s
hst brake hose needs 2 be cleaned,s
c/o fuel breather,h
cooler pump bolt needsloctite,h
inspect track plates lft,s
replace the bolt,s
repair weeping brake filter hose,h
rep pin grease leak,h
roof heater hose found weeping,s
diff. pump drive has leak,s
repair split in back wall and weld,h
filter hose requires fitting,h
replace siezed precleaner motor,h
repair leaking steering acc,h
tighten loose propel frame bolts,h
need clean out steering pump hose,s
repair flt in weldingboard,s
change engine oil and insp eng,s
leak of hyd oil from cooler fan hose,s
fan pump drive has leak,s
install ssr 11 self rescuer,h
3 weekly pipeco hose repairs,s
steering pump oil leaks,h
42347 monthly ansul system service,s
repair air con fault,h
front window cracked,h
hydoil leak frombrake pump hose,h
diff oil is leaking,s
replace hyd joiner suction hose,h
replace comp bucket teeth,h
/co water pump sft unserviceable,s
clam cylinder hose reqs co,s
pos #2 steer oil inspection plug missing,h
5 weekly service electrical,s
centrifuge hose requires rep,s
roller need 2 c/out,s
rinachi daily inspections wk 52,s
noise fr hydraulic lift cylinder,s
tray position fault,h
repair auto not working,h
drag tun roller bracket/bearings,s
replacing needed 4 eng pump bolt,s
reapir over fault,s
552 hr service,s
repl leaking rhs steering cylinder,h
alarm activated in pto pump chip sensor,s
bear on compressor noisy,h
refitt l/h y pin,s
replace ride control solenoids,h
repl bucket profile bar,h
24wk crows nest service,h
pos 5 tyre sidewall damage,h
cab needs an aerial,s
extending needed 4 mast dust flap,s
replace engine fan,h
repair bucket in surf w/shop,h
investigate gear fault,s
oil found on frame,h
