sentence,label
drag ropes lh changeout-mechanical,h
fit up tyre as spare,h
slew pump oil was found,h
drag rope pump hose has leak,h
loctite needed on steering pmp bolt,s
fuel leak in bucket cylind hose,h
no ignition bucket over truck,h
replace transmission harness,s
reverse alarm not working,s
dropped cell in battery,h
mesure allround chassis movement,s
change out pos 9 &2,h
refit old air tank removed from,h
repair crack in rock deflector,s
coolant leak fr transmission hose,h
slew pmp has a leak,s
aerial required 4 am/fm radio,h
replace uni's on rear driveline,s
wtr pmp. shaft must be replaced,h
brake pmpcavity emptying issue,h
leak of oil in slew pmp.,s
c/o leaking plug,h
rep dmg 2 auto-greaser door,h
cracked cable gantry,s
replace headboard w. cracks,h
pos 3f/drive contaminated see text,h
wiper mtr hose needs oil leak rep,h
trace & repair hyd oil leak rh steer ram,s
oga quote/repair torque wrench # 0,h
centrifugefilt leaking,h
revolving frame has oil,s
mobile internal labour w 40,h
cracking on cov,h
tighten handrail around fairleads,s
diverter valve leaking hyd oil,s
replace injectors and o,s
no drag excitaion,h
supply new bucket teeth lock tbc,h
h/rail is cracked,h
purge hoist & drag pedestall bearings,s
wiper blades worn out,s
engi flt present,h
dragline airconditioner not producing cold,s
hst brake hose needs 2 be cleaned,h
c/o fuel breather,s
cooler pump bolt needsloctite,h
inspect track plates lft,h
replace the bolt,s
repair weeping brake filter hose,s
rep pin grease leak,h
roof heater hose found weeping,s
diff. pump drive has leak,h
repair split in back wall and weld,s
filter hose requires fitting,s
replace siezed precleaner motor,s
repair leaking steering acc,s
tighten loose propel frame bolts,s
need clean out steering pump hose,h
repair flt in weldingboard,h
change engine oil and insp eng,s
leak of hyd oil from cooler fan hose,s
fan pump drive has leak,s
install ssr 11 self rescuer,h
3 weekly pipeco hose repairs,h
steering pump oil leaks,s
42347 monthly ansul system service,h
repair air con fault,s
front window cracked,s
hydoil leak frombrake pump hose,h
diff oil is leaking,h
replace hyd joiner suction hose,h
replace comp bucket teeth,h
/co water pump sft unserviceable,h
clam cylinder hose reqs co,h
pos #2 steer oil inspection plug missing,s
5 weekly service electrical,s
centrifuge hose requires rep,s
roller need 2 c/out,h
rinachi daily inspections wk 52,s
noise fr hydraulic lift cylinder,h
tray position fault,s
repair auto not working,s
drag tun roller bracket/bearings,s
replacing needed 4 eng pump bolt,h
reapir over fault,s
552 hr service,s
repl leaking rhs steering cylinder,s
alarm activated in pto pump chip sensor,s
bear on compressor noisy,h
refitt l/h y pin,h
replace ride control solenoids,s
repl bucket profile bar,h
24wk crows nest service,s
pos 5 tyre sidewall damage,s
cab needs an aerial,h
extending needed 4 mast dust flap,h
replace engine fan,s
repair bucket in surf w/shop,s
investigate gear fault,s
oil found on frame,s
