sentence,label
drag ropes lh changeout-mechanical,h
fit up tyre as spare,h
slew pump oil was found,s
drag rope pump hose has leak,s
loctite needed on steering pmp bolt,s
fuel leak in bucket cylind hose,s
no ignition bucket over truck,s
replace transmission harness,h
reverse alarm not working,h
dropped cell in battery,h
mesure allround chassis movement,h
change out pos 9 &2,h
refit old air tank removed from,h
repair crack in rock deflector,s
coolant leak fr transmission hose,s
slew pmp has a leak,s
aerial required 4 am/fm radio,h
replace uni's on rear driveline,h
wtr pmp. shaft must be replaced,s
brake pmpcavity emptying issue,h
leak of oil in slew pmp.,s
c/o leaking plug,s
rep dmg 2 auto-greaser door,h
cracked cable gantry,s
replace headboard w. cracks,h
pos 3f/drive contaminated see text,h
wiper mtr hose needs oil leak rep,s
trace & repair hyd oil leak rh steer ram,h
oga quote/repair torque wrench # 0,h
centrifugefilt leaking,h
revolving frame has oil,s
mobile internal labour w 40,h
cracking on cov,s
tighten handrail around fairleads,h
diverter valve leaking hyd oil,s
replace injectors and o,h
no drag excitaion,s
supply new bucket teeth lock tbc,h
h/rail is cracked,h
purge hoist & drag pedestall bearings,s
wiper blades worn out,s
engi flt present,s
dragline airconditioner not producing cold,s
hst brake hose needs 2 be cleaned,h
c/o fuel breather,s
cooler pump bolt needsloctite,s
inspect track plates lft,h
replace the bolt,s
repair weeping brake filter hose,s
rep pin grease leak,s
roof heater hose found weeping,s
diff. pump drive has leak,s
repair split in back wall and weld,h
filter hose requires fitting,h
replace siezed precleaner motor,s
repair leaking steering acc,s
tighten loose propel frame bolts,s
need clean out steering pump hose,s
repair flt in weldingboard,s
change engine oil and insp eng,h
leak of hyd oil from cooler fan hose,s
fan pump drive has leak,s
install ssr 11 self rescuer,h
3 weekly pipeco hose repairs,h
steering pump oil leaks,s
42347 monthly ansul system service,h
repair air con fault,s
front window cracked,s
hydoil leak frombrake pump hose,h
diff oil is leaking,s
replace hyd joiner suction hose,s
replace comp bucket teeth,s
/co water pump sft unserviceable,s
clam cylinder hose reqs co,h
pos #2 steer oil inspection plug missing,h
5 weekly service electrical,h
centrifuge hose requires rep,s
roller need 2 c/out,h
rinachi daily inspections wk 52,h
noise fr hydraulic lift cylinder,s
tray position fault,s
repair auto not working,h
drag tun roller bracket/bearings,h
replacing needed 4 eng pump bolt,h
reapir over fault,h
552 hr service,h
repl leaking rhs steering cylinder,h
alarm activated in pto pump chip sensor,h
bear on compressor noisy,h
refitt l/h y pin,h
replace ride control solenoids,s
repl bucket profile bar,s
24wk crows nest service,h
pos 5 tyre sidewall damage,h
cab needs an aerial,s
extending needed 4 mast dust flap,h
replace engine fan,s
repair bucket in surf w/shop,h
investigate gear fault,s
oil found on frame,h
