sentence,label,,label,count
drag ropes lh changeout-mechanical,h,,h,50
fit up tyre as spare,h,,s,50
slew pump oil was found,s,,,
drag rope pump hose has leak,h,,,
loctite needed on steering pmp bolt,s,,,
fuel leak in bucket cylind hose,s,,,
no ignition bucket over truck,s,,,
replace transmission harness,s,,,
reverse alarm not working,s,,,
dropped cell in battery,h,,,
mesure allround chassis movement,h,,,
change out pos 9 &2,s,,,
refit old air tank removed from,s,,,
repair crack in rock deflector,h,,,
coolant leak fr transmission hose,s,,,
slew pmp has a leak,h,,,
aerial required 4 am/fm radio,s,,,
replace uni's on rear driveline,h,,,
wtr pmp. shaft must be replaced,s,,,
brake pmpcavity emptying issue,s,,,
leak of oil in slew pmp.,s,,,
c/o leaking plug,h,,,
rep dmg 2 auto-greaser door,s,,,
cracked cable gantry,s,,,
replace headboard w. cracks,h,,,
pos 3f/drive contaminated see text,s,,,
wiper mtr hose needs oil leak rep,s,,,
trace & repair hyd oil leak rh steer ram,h,,,
oga quote/repair torque wrench # 0,s,,,
centrifugefilt leaking,s,,,
revolving frame has oil,s,,,
mobile internal labour w 40,s,,,
cracking on cov,s,,,
tighten handrail around fairleads,h,,,
diverter valve leaking hyd oil,h,,,
replace injectors and o,s,,,
no drag excitaion,h,,,
supply new bucket teeth lock tbc,s,,,
h/rail is cracked,h,,,
purge hoist & drag pedestall bearings,h,,,
wiper blades worn out,h,,,
engi flt present,s,,,
dragline airconditioner not producing cold,s,,,
hst brake hose needs 2 be cleaned,h,,,
c/o fuel breather,h,,,
cooler pump bolt needsloctite,h,,,
inspect track plates lft,h,,,
replace the bolt,s,,,
repair weeping brake filter hose,h,,,
rep pin grease leak,s,,,
roof heater hose found weeping,h,,,
diff. pump drive has leak,h,,,
repair split in back wall and weld,h,,,
filter hose requires fitting,h,,,
replace siezed precleaner motor,h,,,
repair leaking steering acc,h,,,
tighten loose propel frame bolts,h,,,
need clean out steering pump hose,s,,,
repair flt in weldingboard,s,,,
change engine oil and insp eng,s,,,
leak of hyd oil from cooler fan hose,s,,,
fan pump drive has leak,h,,,
install ssr 11 self rescuer,s,,,
3 weekly pipeco hose repairs,s,,,
steering pump oil leaks,s,,,
42347 monthly ansul system service,s,,,
repair air con fault,h,,,
front window cracked,h,,,
hydoil leak frombrake pump hose,s,,,
diff oil is leaking,h,,,
replace hyd joiner suction hose,h,,,
replace comp bucket teeth,s,,,
/co water pump sft unserviceable,h,,,
clam cylinder hose reqs co,s,,,
pos #2 steer oil inspection plug missing,h,,,
5 weekly service electrical,s,,,
centrifuge hose requires rep,s,,,
roller need 2 c/out,s,,,
rinachi daily inspections wk 52,s,,,
noise fr hydraulic lift cylinder,s,,,
tray position fault,h,,,
repair auto not working,s,,,
drag tun roller bracket/bearings,s,,,
replacing needed 4 eng pump bolt,h,,,
reapir over fault,s,,,
552 hr service,h,,,
repl leaking rhs steering cylinder,h,,,
alarm activated in pto pump chip sensor,h,,,
bear on compressor noisy,s,,,
refitt l/h y pin,h,,,
replace ride control solenoids,h,,,
repl bucket profile bar,h,,,
24wk crows nest service,h,,,
pos 5 tyre sidewall damage,h,,,
cab needs an aerial,h,,,
extending needed 4 mast dust flap,s,,,
replace engine fan,h,,,
repair bucket in surf w/shop,s,,,
investigate gear fault,h,,,
oil found on frame,h,,,
