sentence,label
eng pump bolt needs loctite,h
diverter valve leaking hyd oil,h
repair leak in slew brake pmp,s
roller need 2 c/out,h
replace brake pads & leaking booste,h
low eng power,s
steering wheel telescopic adj u/s,h
repl rhs lift cylinder,s
inverter batteries arenot charged,h
slew pump hose has coolant leak,h
a-frame clevis pin no grease,h
need clean out steering pump hose,s
fan pump drive has leak,h
cw oil cooler bypass tube leakin,h
check lube to rear l/h dirt chute roller,s
pmp motor hoses are leakig,h
parts washer pump chip sensor alarm,s
extra lighting,s
engine water pump shaft snapped,s
rep leaking brake pmp hose,s
leak in condenser fan hose,s
inv rep engine shut fault,s
both swing lube solenoid seal valve u/s,h
replace rear drive unis,h
cleaning needed fo eng a/cond,s
cracked blade liner needs replacement,h
repair cracks in mud buc,h
get c/o worn cutting edges,s
/co water pump sft unserviceable,h
loctite needed on steering pmp bolt,s
pos 9 strut pins removed,s
replace missing bolts,s
rhs bucket,h
fast fill bkt broken,s
rep pin grease leak,s
replace all bucket teeth tbc,s
fix transmission hose leak,h
pmp hose is in need of repair,h
investigate pump drive wear,s
repair leaking grease gun,h
fuel primmer pump failed,h
hst brake hose needs 2 be cleaned,h
renew battery isolator,s
engine air conditioner guard broken,h
loctite needed on slew pmp bolt,s
controller filt needs replacement worn,h
h/rail is cracked,h
repair turbo oil supply line,s
fuel leakingfrom fan pump,h
controller filterhose leaks oil,s
bear on compressor noisy,s
boardinng ladder ain' t working,h
repair eng oil leak,s
clean filters on all cabinets,s
replacing needed 4 eng pump bolt,h
fit drop bar on upper deck,h
tighten loose propel frame bolts,s
fit safety bar at top of ladder,s
centre horiz fairlead sheave c/out,s
check grease lines to ibs rope pins,s
leak in hst brake hose,h
chute is crackeed,h
clevis pin needs grease,s
replace engine bay c/breakers,s
extending needed 4 mast dust flap,s
replace steering column cover,s
main lts out,h
emergency ladder gate latch u/s,h
replace cannon cylinder,s
c/out brake swing rht frnt,h
4 light staying on,h
r/fr idicater and park light u/s,h
repl steerng cylinder lhs,s
radio reqs new aerial,h
replace r/h outer lip shroud,s
repair aircon,s
boom lights inoperative,h
replace u/s jockey wheel,h
vari rate not working spray&can,h
rh shoe cantilever ladder h/rail cracked,h
leak fuel from tilt cylinder hose,s
coolant leak front of engine,h
weeping hose,h
replace r/hand drag chain d/line,s
leak in hoist motor hose,h
aircon. comp continuously tripping out,s
wiper mtr hose needs oil leak rep,h
diff oil is leaking,h
e/l trials on lh rear door,s
steering chamber pin grease is leaking,h
wtr pmp. shaft must be replaced,s
hitch hose requires clean,s
inspect hyd cyl blade tilt rht,s
install missing smoke detector in cab,h
replace all four tyres,s
bucket lip repairs,s
steering cylinder bearing is noisy,s
cab. smoke detector needs replacement missing,h
tilt cylinder gaurds,s
c/o transmission mgt. u/s,h
