Temperature,Top-p,MWO Output
0.0,0.0,10
0.0,0.1,9
0.0,0.2,10
0.0,0.3,11
0.0,0.4,8
0.0,0.5,11
0.0,0.6,10
0.0,0.7,10
0.0,0.8,11
0.0,0.9,9
0.0,1.0,10
0.15,0.0,8
0.15,0.1,10
0.15,0.2,9
0.15,0.3,11
0.15,0.4,10
0.15,0.5,10
0.15,0.6,10
0.15,0.7,9
0.15,0.8,9
0.15,0.9,11
0.15,1.0,10
0.3,0.0,11
0.3,0.1,11
0.3,0.2,10
0.3,0.3,11
0.3,0.4,8
0.3,0.5,11
0.3,0.6,7
0.3,0.7,8
0.3,0.8,10
0.3,0.9,11
0.3,1.0,10
0.45,0.0,10
0.45,0.1,11
0.45,0.2,10
0.45,0.3,11
0.45,0.4,10
0.45,0.5,10
0.45,0.6,11
0.45,0.7,11
0.45,0.8,12
0.45,0.9,8
0.45,1.0,11
0.6,0.0,10
0.6,0.1,10
0.6,0.2,11
0.6,0.3,10
0.6,0.4,8
0.6,0.5,10
0.6,0.6,9
0.6,0.7,11
0.6,0.8,9
0.6,0.9,10
0.6,1.0,10
0.75,0.0,11
0.75,0.1,10
0.75,0.2,10
0.75,0.3,12
0.75,0.4,9
0.75,0.5,11
0.75,0.6,11
0.75,0.7,10
0.75,0.8,11
0.75,0.9,8
0.75,1.0,11
0.9,0.0,10
0.9,0.1,10
0.9,0.2,11
0.9,0.3,11
0.9,0.4,10
0.9,0.5,9
0.9,0.6,10
0.9,0.7,12
0.9,0.8,9
0.9,0.9,9
0.9,1.0,10
1.05,0.0,10
1.05,0.1,11
1.05,0.2,12
1.05,0.3,11
1.05,0.4,11
1.05,0.5,9
1.05,0.6,10
1.05,0.7,12
1.05,0.8,9
1.05,0.9,9
1.05,1.0,10
1.2,0.0,9
1.2,0.1,8
1.2,0.2,10
1.2,0.3,10
1.2,0.4,11
1.2,0.5,11
1.2,0.6,7
1.2,0.7,10
1.2,0.8,8
1.2,0.9,11
1.2,1.0,11
1.35,0.0,8
1.35,0.1,10
1.35,0.2,11
1.35,0.3,12
1.35,0.4,11
1.35,0.5,8
1.35,0.6,11
1.35,0.7,9
1.35,0.8,10
1.35,0.9,10
1.35,1.0,9
1.5,0.0,11
1.5,0.1,11
1.5,0.2,9
1.5,0.3,8
1.5,0.4,11
1.5,0.5,8
1.5,0.6,12
1.5,0.7,10
1.5,0.8,11
1.5,0.9,11
1.5,1.0,9
1.65,0.0,9
1.65,0.1,10
1.65,0.2,10
1.65,0.3,10
1.65,0.4,10
1.65,0.5,10
1.65,0.6,12
1.65,0.7,10
1.65,0.8,10
1.65,0.9,9
1.65,1.0,10
1.8,0.0,11
1.8,0.1,11
1.8,0.2,12
1.8,0.3,9
1.8,0.4,11
1.8,0.5,8
1.8,0.6,11
1.8,0.7,11
1.8,0.8,11
1.8,0.9,10
1.8,1.0,10
2.0,0.0,7
2.0,0.1,8
2.0,0.2,12
2.0,0.3,10
2.0,0.4,11
2.0,0.5,12
2.0,0.6,11
2.0,0.7,11
2.0,0.8,10
2.0,0.9,9
2.0,1.0,9
