Temperature,Top-p,Unique Token Count
0.0,0.0,12
0.0,0.1,12
0.0,0.2,11
0.0,0.3,13
0.0,0.4,11
0.0,0.5,13
0.0,0.6,13
0.0,0.7,12
0.0,0.8,14
0.0,0.9,13
0.0,1.0,12
0.15,0.0,11
0.15,0.1,12
0.15,0.2,10
0.15,0.3,13
0.15,0.4,12
0.15,0.5,12
0.15,0.6,12
0.15,0.7,12
0.15,0.8,13
0.15,0.9,13
0.15,1.0,12
0.3,0.0,13
0.3,0.1,13
0.3,0.2,13
0.3,0.3,13
0.3,0.4,10
0.3,0.5,15
0.3,0.6,10
0.3,0.7,9
0.3,0.8,13
0.3,0.9,13
0.3,1.0,12
0.45,0.0,13
0.45,0.1,12
0.45,0.2,13
0.45,0.3,12
0.45,0.4,12
0.45,0.5,12
0.45,0.6,13
0.45,0.7,14
0.45,0.8,14
0.45,0.9,11
0.45,1.0,13
0.6,0.0,12
0.6,0.1,12
0.6,0.2,15
0.6,0.3,11
0.6,0.4,12
0.6,0.5,13
0.6,0.6,11
0.6,0.7,12
0.6,0.8,13
0.6,0.9,12
0.6,1.0,13
0.75,0.0,12
0.75,0.1,13
0.75,0.2,13
0.75,0.3,13
0.75,0.4,10
0.75,0.5,14
0.75,0.6,12
0.75,0.7,11
0.75,0.8,13
0.75,0.9,10
0.75,1.0,14
0.9,0.0,14
0.9,0.1,14
0.9,0.2,14
0.9,0.3,12
0.9,0.4,12
0.9,0.5,10
0.9,0.6,11
0.9,0.7,13
0.9,0.8,11
0.9,0.9,12
0.9,1.0,14
1.05,0.0,13
1.05,0.1,13
1.05,0.2,13
1.05,0.3,13
1.05,0.4,13
1.05,0.5,11
1.05,0.6,13
1.05,0.7,13
1.05,0.8,12
1.05,0.9,11
1.05,1.0,13
1.2,0.0,11
1.2,0.1,10
1.2,0.2,13
1.2,0.3,12
1.2,0.4,13
1.2,0.5,12
1.2,0.6,9
1.2,0.7,12
1.2,0.8,10
1.2,0.9,13
1.2,1.0,13
1.35,0.0,10
1.35,0.1,12
1.35,0.2,13
1.35,0.3,12
1.35,0.4,13
1.35,0.5,11
1.35,0.6,14
1.35,0.7,12
1.35,0.8,11
1.35,0.9,12
1.35,1.0,12
1.5,0.0,14
1.5,0.1,14
1.5,0.2,12
1.5,0.3,11
1.5,0.4,14
1.5,0.5,11
1.5,0.6,13
1.5,0.7,12
1.5,0.8,13
1.5,0.9,15
1.5,1.0,12
1.65,0.0,11
1.65,0.1,12
1.65,0.2,12
1.65,0.3,12
1.65,0.4,13
1.65,0.5,12
1.65,0.6,17
1.65,0.7,14
1.65,0.8,14
1.65,0.9,12
1.65,1.0,12
1.8,0.0,14
1.8,0.1,14
1.8,0.2,14
1.8,0.3,12
1.8,0.4,12
1.8,0.5,11
1.8,0.6,13
1.8,0.7,13
1.8,0.8,13
1.8,0.9,13
1.8,1.0,13
2.0,0.0,9
2.0,0.1,11
2.0,0.2,12
2.0,0.3,13
2.0,0.4,13
2.0,0.5,13
2.0,0.6,13
2.0,0.7,14
2.0,0.8,13
2.0,0.9,12
2.0,1.0,13
